risk_rank,amfi_code,scheme_name,fund_house,category,sub_category,observations,mean_daily_return,daily_std_dev,var_95_daily_pct,cvar_95_daily_pct,var_95_amt_per_1lakh,cvar_95_amt_per_1lakh
12,120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Equity,Mid Cap,1607.0,0.0008,0.0103,-1.6224,-2.2363,-1622.0,-2236.0
13,149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Equity,Mid Cap,1607.0,0.0008,0.0095,-1.5866,-2.0903,-1587.0,-2090.0
14,148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,Equity,ELSS,1607.0,0.0008,0.0094,-1.5259,-1.9852,-1526.0,-1985.0
15,102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,Flexi Cap,1607.0,0.0005,0.0084,-1.3743,-1.7964,-1374.0,-1796.0
16,120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Equity,Flexi Cap,1607.0,0.0008,0.0085,-1.3327,-1.7114,-1333.0,-1711.0
17,148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Equity,Large & Mid Cap,1607.0,0.0006,0.0082,-1.3313,-1.7384,-1331.0,-1738.0
18,120506,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Equity,Value,1607.0,0.0005,0.0081,-1.3005,-1.7792,-1301.0,-1779.0
19,149322,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Equity,Large Cap,1607.0,0.0004,0.0076,-1.2955,-1.6995,-1296.0,-1700.0
20,100016,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Equity,Large Cap,1607.0,0.0001,0.0077,-1.2884,-1.6768,-1288.0,-1677.0
21,119092,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Equity,Large Cap,1607.0,0.0002,0.0074,-1.2693,-1.6166,-1269.0,-1617.0
22,148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Equity,Large Cap,1607.0,0.0008,0.0076,-1.2607,-1.6343,-1261.0,-1634.0
23,119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Equity,Large Cap,1607.0,0.0002,0.0074,-1.2588,-1.6332,-1259.0,-1633.0
24,120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Equity,Large Cap,1607.0,0.0006,0.0077,-1.2531,-1.6226,-1253.0,-1623.0
25,125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Equity,Large Cap,1607.0,0.0005,0.0078,-1.2502,-1.6964,-1250.0,-1696.0
26,118632,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Equity,Large Cap,1607.0,0.0006,0.0075,-1.2333,-1.6328,-1233.0,-1633.0
27,101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,Large Cap,1607.0,0.0006,0.0078,-1.2173,-1.6075,-1217.0,-1608.0
28,120503,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Equity,Large Cap,1607.0,0.0005,0.0074,-1.2133,-1.61,-1213.0,-1610.0
29,119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,Large Cap,1607.0,0.0006,0.0074,-1.2129,-1.6078,-1213.0,-1608.0
30,118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Equity,Large Cap,1607.0,0.0004,0.0075,-1.2066,-1.5542,-1207.0,-1554.0
31,119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,Large Cap,1607.0,0.0007,0.0073,-1.1827,-1.523,-1183.0,-1523.0
32,120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Equity,Large Cap,1607.0,0.0004,0.0072,-1.1725,-1.5249,-1172.0,-1525.0
33,102885,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Equity,Index,1607.0,0.0005,0.0068,-1.1047,-1.4381,-1105.0,-1438.0
34,118635,Nippon India ETF Nifty 50 BeES,Nippon India MF,Equity,Index/ETF,1607.0,0.0004,0.0069,-1.1033,-1.4938,-1103.0,-1494.0
35,119120,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Debt,Gilt,1607.0,0.0002,0.0021,-0.3429,-0.4618,-343.0,-462.0
36,118636,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,Debt,Gilt,1607.0,0.0001,0.0021,-0.3344,-0.4541,-334.0,-454.0
37,100025,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,Debt,Short Duration,1607.0,0.0001,0.0021,-0.3338,-0.4581,-334.0,-458.0
38,101208,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Debt,Liquid,1607.0,0.0002,0.0003,-0.0218,-0.0371,-22.0,-37.0
39,120844,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Debt,Liquid,1607.0,0.0002,0.0003,-0.0204,-0.0362,-20.0,-36.0
40,120507,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Debt,Liquid,1607.0,0.0002,0.0003,-0.0196,-0.0325,-20.0,-33.0
